category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
15,284666.0,16396.0,81,949.0,0,0,0
23,3371669.0,202676.0,3394,20086.0,0,0,0
10,195685.0,14338.0,171,1070.0,0,0,0
22,1098897.0,43875.0,1326,4702.0,0,0,0
10,893462.0,22326.0,833,943.0,0,0,0
23,225286.0,1731.0,193,206.0,0,0,0
24,264793.0,3283.0,853,0.0,1,0,0
10,5476737.0,286268.0,4083,12254.0,0,0,0
23,3578502.0,307435.0,2573,12248.0,0,0,0
24,304926.0,3305.0,130,275.0,0,0,0
26,247319.0,10138.0,153,639.0,0,0,0
1,296434.0,3327.0,142,377.0,0,0,0
10,125962.0,5048.0,139,369.0,0,0,0
10,419341.0,53572.0,168,3083.0,0,0,0
10,138988.0,7999.0,84,612.0,0,0,0
10,1774018.0,88417.0,1002,7686.0,0,0,0
28,1575525.0,52829.0,1524,5864.0,0,0,0
10,626688.0,25115.0,499,1392.0,0,0,0
26,219030.0,14303.0,398,1099.0,0,0,0
10,493662.0,7693.0,181,388.0,0,0,0
24,1017803.0,25122.0,628,1504.0,0,0,0
24,139955.0,4417.0,217,457.0,0,0,0
22,362009.0,5505.0,2356,1264.0,0,0,0
22,294387.0,15247.0,385,976.0,0,0,0
24,844653.0,11616.0,313,1518.0,0,0,0
23,1315873.0,9312.0,584,769.0,0,0,0
22,188003.0,9091.0,135,2814.0,0,0,0
10,1624771.0,84426.0,1130,5981.0,0,0,0
25,125970.0,935.0,507,262.0,0,0,0
10,205869.0,11198.0,120,446.0,0,0,0
10,98422.0,2926.0,106,798.0,0,0,0
15,426078.0,19323.0,245,945.0,0,0,0
10,33315.0,1365.0,24,91.0,0,0,0
10,1231518.0,32648.0,6221,9288.0,0,0,0
20,154872.0,7683.0,164,1734.0,0,0,0
26,72626.0,3652.0,120,219.0,0,0,0
24,366180.0,4364.0,4448,1855.0,0,0,0
10,264511.0,11736.0,532,743.0,0,0,0
24,192609.0,1345.0,24,126.0,0,0,0
10,95944.0,1354.0,181,117.0,0,0,0
10,154494.0,2163.0,147,211.0,0,0,0
22,53321.0,443.0,131,106.0,0,0,0
24,681944.0,909.0,52,193.0,0,0,0
10,91776.0,4604.0,46,357.0,0,0,0
10,764716.0,35765.0,483,1159.0,0,0,0
10,135337.0,7158.0,89,318.0,0,0,0
26,77630.0,1991.0,83,208.0,0,0,0
24,378750.0,5642.0,146,675.0,0,0,0
24,151709.0,9210.0,71,1103.0,0,0,0
24,175852.0,18091.0,200,852.0,0,0,0
10,5149.0,242.0,0,54.0,0,0,0
10,1905487.0,65854.0,2442,4490.0,0,0,0
10,9632678.0,810895.0,16139,59473.0,0,0,0
24,476389.0,16106.0,950,2077.0,0,0,0
24,754558.0,11985.0,1356,1757.0,0,0,0
10,762616.0,20159.0,336,899.0,0,0,0
24,199429.0,10175.0,66,1855.0,0,0,0
22,691229.0,31892.0,197,1404.0,0,0,0
27,6412.0,49.0,0,2.0,0,0,0
23,108618.0,4989.0,58,274.0,0,0,0
27,79306.0,3809.0,127,670.0,0,0,0
24,812007.0,5894.0,951,851.0,0,0,0
26,55398.0,1170.0,22,336.0,0,0,0
27,773.0,2.0,0,0.0,0,0,0
24,581288.0,5075.0,725,1780.0,0,0,0
10,681944.0,3959.0,158,335.0,0,0,0
2,4850.0,22.0,1,1.0,0,0,0
10,226088.0,10844.0,302,555.0,0,0,0
10,651036.0,23338.0,442,1101.0,0,0,0
24,451356.0,3454.0,284,623.0,0,0,0
15,46571.0,4250.0,16,408.0,0,0,0
24,28539.0,681.0,25,45.0,0,0,0
1,12609.0,40.0,79,17.0,0,0,0
10,30021.0,569.0,42,44.0,0,0,0
